Country Name;Country Code;Indicator Name;Indicator Code;Year;Value
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;1990;717606
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;1991;717606
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;1992;812350
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;1993;873778
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;1994;941520
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;1995;1046648
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;1996;1074179
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;1997;1069871
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;1998;1112045
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;1999;1151507
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;2000;1194924
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;2001;1219089
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;2002;1270282
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;2003;1239769
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;2004;1247337
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;2005;1312753
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;2006;1510317
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;2007;1602308
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;2008;1669441
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;2009;1749737
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;2010;1862279
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;2011;1994800
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;2012;1910577
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;2013;2260666
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;2014;2320799
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;2015;2435707
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;2016;2894437
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;2017;3696082
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;2018;4236880
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;2019;493285
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;2020;5331215
Australia;AU;Total Natural Gas domestic production (TJ);IEA.NG.DP;2021;
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1990;619236
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1991;619236
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1992;600490
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1993;624832
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1994;652856
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1995;701006
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1996;703694
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1997;708701
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1998;737510
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1999;768677
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2000;806999
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2001;850415
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2002;898203
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2003;856587
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2004;859874
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2005;794321
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2006;958093
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2007;1065160
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2008;1155205
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2009;1177305
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2010;1146263
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2011;1201276
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2012;1150297
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2013;1293036
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2014;1377713
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2015;1387014
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2016;1276525
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2017;1309713
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2018;1362770
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2019;1433976
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2020;1588269
Australia;AU;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2021;
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1990;145330
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1991;145330
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1992;118752
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1993;122729
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1994;131681
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1995;149096
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1996;133238
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1997;129724
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1998;139586
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1999;161523
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2000;169994
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2001;184778
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2002;264165
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2003;167065
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2004;174764
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2005;178102
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2006;167532
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2007;242405
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2008;270081
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2009;320577
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2010;335759
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2011;346684
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2012;380437
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2013;382578
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2014;392444
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2015;410834
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2016;415360
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2017;400684
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2018;407738
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2019;389931
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2020;403923
Australia;AU;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2021;
Australia;AU;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1990;0
