Country Name;Country Code;Indicator Name;Indicator Code;Year;Value
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;1990;0
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;1991;0
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;1992;0
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;1993;0
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;1994;0
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;1995;1741
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;1996;15665
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;1997;25699
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;1998;31668
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;1999;53044
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;2000;53044
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;2001;53440
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;2002;54166
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;2003;47711
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;2004;46872
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;2005;52397
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;2006;51479
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;2007;52815
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;2008;55579
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;2009;50035
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;2010;55541
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;2011;54752
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;2012;59723
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;2013;68584
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;2014;69154
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;2015;70618
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;2016;70916
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;2017;78911
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;2018;73047
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;2019;77903
Cote d'Ivoire;CI;Total Natural Gas domestic production (TJ);IEA.NG.DP;2020;79893
Cote d'Ivoire;CI;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1990;0
Cote d'Ivoire;CI;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1991;0
Cote d'Ivoire;CI;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1992;0
Cote d'Ivoire;CI;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1993;0
Cote d'Ivoire;CI;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1994;0
Cote d'Ivoire;CI;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1995;1741
Cote d'Ivoire;CI;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1996;15665
Cote d'Ivoire;CI;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1997;25699
Cote d'Ivoire;CI;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1998;31668
Cote d'Ivoire;CI;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1999;53044
Cote d'Ivoire;CI;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2000;53044
Cote d'Ivoire;CI;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2001;53440
Cote d'Ivoire;CI;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2002;54166
Cote d'Ivoire;CI;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2003;47711
Cote d'Ivoire;CI;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2004;46872
Cote d'Ivoire;CI;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2005;52397
Cote d'Ivoire;CI;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2006;51479
