Country Name;Country Code;Indicator Name;Indicator Code;Year;Value
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1990;1626748
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1991;1763773
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1992;1839892
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1993;1865372
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1994;1716548
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1995;1953164
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1996;2071953
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1997;2388479
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1998;2553503
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1999;2868189
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2000;2924581
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2001;2751374
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2002;2831425
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2003;2991134
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2004;2948704
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2005;3165661
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2006;3113758
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2007;3081595
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2008;3089442
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2009;2968723
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2010;3013204
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2011;2913826
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2012;3036705
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2013;2884979
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2014;2939699
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2015;2990305
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2016;3372919
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2017;3426201
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2018;3459511
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2019;3203430
Algeria;DZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2020;3020011
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1990;509654
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1991;545641
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1992;558073
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1993;596306
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1994;572342
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1995;604018
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1996;593746
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1997;637570
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1998;656190
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1999;699392
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2000;705025
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2001;714426
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2002;746998
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2003;819761
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2004;797597
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2005;859283
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2006;902047
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2007;934430
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2008;943134
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2009;1004287
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2010;976373
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2011;1037725
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2012;1173011
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2013;1197407
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2014;1350796
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2015;1441080
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2016;1451291
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2017;1503178
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2018;1628468
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2019;1680242
Algeria;DZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2020;1614913
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1990;165735
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1991;173350
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1992;180601
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1993;192515
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1994;204582
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1995;209766
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1996;210911
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1997;222279
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1998;249448
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1999;264353
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2000;270284
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2001;284569
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2002;302472
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2003;324134
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2004;342937
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2005;355959
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2006;379291
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2007;384966
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2008;417011
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2009;429570
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2010;429965
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2011;483273
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2012;531404
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2013;516288
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2014;560922
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2015;631612
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2016;621438
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2017;659722
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2018;676114
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2019;690734
Algeria;DZ;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2020;675333
Algeria;DZ;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1990;0
Algeria;DZ;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1991;0
Algeria;DZ;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1992;0
Algeria;DZ;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1993;0
Algeria;DZ;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1994;0
Algeria;DZ;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1995;0
Algeria;DZ;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1996;0
Algeria;DZ;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1997;0
Algeria;DZ;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1998;0
Algeria;DZ;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1999;0
Algeria;DZ;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2000;0
Algeria;DZ;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2001;0
Algeria;DZ;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2002;0
Algeria;DZ;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2003;0
Algeria;DZ;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2004;0
Algeria;DZ;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2005;0
Algeria;DZ;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2006;0
