Country Name;Country Code;Indicator Name;Indicator Code;Year;Value
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;1990;281876
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;1991;310536
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;1992;334442
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;1993;394805
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;1994;409531
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;1995;430715
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;1996;445523
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;1997;456673
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;1998;469976
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;1999;595381
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2000;604417
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2001;793953
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2002;890568
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2003;977162
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2004;1082225
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2005;1784851
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2006;1919551
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2007;2052000
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2008;2129505
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2009;2123068
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2010;1943031
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2011;1928449
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2012;1850412
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2013;1644367
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2014;1472725
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2015;1309928
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2016;1456168
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2017;1811720
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2018;2144875
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2019;2378704
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2020;2133477
Egypt, Arab Rep.;EG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2021;
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1990;2700
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1991;3105
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1992;3344
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1993;3600
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1994;24142
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1995;27490
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1996;28454
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1997;29138
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1998;35705
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1999;13941
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2000;13817
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2001;14261
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2002;16758
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2003;17579
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2004;17818
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2005;24126
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2006;24241
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2007;28078
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2008;25163
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2009;33721
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2010;35646
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2011;42466
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2012;47907
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2013;54580
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2014;62260
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2015;64527
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2016;71672
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2017;81179
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2018;93208
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2019;96743
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2020;93619
Egypt, Arab Rep.;EG;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2021;
Egypt, Arab Rep.;EG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1990;281876
Egypt, Arab Rep.;EG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1991;310536
Egypt, Arab Rep.;EG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1992;334442
Egypt, Arab Rep.;EG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1993;394805
Egypt, Arab Rep.;EG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1994;409531
Egypt, Arab Rep.;EG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1995;430715
Egypt, Arab Rep.;EG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1996;445523
Egypt, Arab Rep.;EG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1997;456673
Egypt, Arab Rep.;EG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1998;469976
Egypt, Arab Rep.;EG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1999;595381
Egypt, Arab Rep.;EG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2000;604417
Egypt, Arab Rep.;EG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2001;793953
Egypt, Arab Rep.;EG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2002;890568
Egypt, Arab Rep.;EG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2003;977162
Egypt, Arab Rep.;EG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2004;956198
