Country Name;Country Code;Indicator Name;Indicator Code;Year;Value
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;1990;1713466
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;1991;1907751
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;1992;1939993
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;1993;2280866
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;1994;2435145
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;1995;2667609
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;1996;3177241
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;1997;3236356
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;1998;3398317
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;1999;3734554
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;2000;4084402
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;2001;3988205
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;2002;3910802
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;2003;3878381
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;2004;3632873
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;2005;3324208
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;2006;3014830
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;2007;2717741
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;2008;2619741
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;2009;2203407
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;2010;2084433
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;2011;1658970
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;2012;1410925
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;2013;1331294
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;2014;1347535
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;2015;1463802
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;2016;1502575
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;2017;1506540
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;2018;1461748
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;2019;1408695
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;2020;1420189
United Kingdom;GB;Total Natural Gas domestic production (TJ);IEA.NG.DP;2021;1176504
United Kingdom;GB;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1990;1976312
United Kingdom;GB;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1991;2130231
United Kingdom;GB;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1992;2123281
United Kingdom;GB;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1993;2419066
United Kingdom;GB;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1994;2521207
United Kingdom;GB;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1995;2726421
United Kingdom;GB;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1996;3180381
United Kingdom;GB;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1997;3191180
United Kingdom;GB;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1998;3323417
United Kingdom;GB;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1999;3525164
United Kingdom;GB;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2000;3659235
United Kingdom;GB;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2001;3627851
United Kingdom;GB;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2002;3594589
United Kingdom;GB;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2003;3595699
United Kingdom;GB;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2004;3673982
United Kingdom;GB;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2005;3578576
United Kingdom;GB;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2006;3393919
United Kingdom;GB;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2007;3431663
United Kingdom;GB;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2008;3554566
