Country Name;Country Code;Indicator Name;Indicator Code;Year;Value
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;1990;0
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;1991;0
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;1992;0
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;1993;0
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;1994;0
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;1995;0
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;1996;0
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;1997;0
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;1998;0
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;1999;0
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;2000;0
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;2001;0
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;2002;0
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;2003;0
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;2004;0
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;2005;0
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;2006;0
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;2007;0
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;2008;0
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;2009;0
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;2010;0
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;2011;0
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;2012;0
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;2013;0
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;2014;1937
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;2015;25060
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;2016;22289
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;2017;32046
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;2018;30928
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;2019;56023
Ghana;GH;Total Natural Gas domestic production (TJ);IEA.NG.DP;2020;90397
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1990;0
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1991;0
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1992;0
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1993;0
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1994;0
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1995;0
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1996;0
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1997;0
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1998;0
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1999;0
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2000;0
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2001;0
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2002;0
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2003;0
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2004;0
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2005;0
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2006;0
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2007;0
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2008;0
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2009;188
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2010;14828
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2011;28985
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2012;14668
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2013;10989
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2014;23341
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2015;44645
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2016;26089
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2017;43168
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2018;54969
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2019;77958
Ghana;GH;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2020;113566
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1990;0
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1991;0
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1992;0
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1993;0
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1994;0
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1995;0
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1996;0
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1997;0
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1998;0
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1999;0
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2000;0
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2001;0
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2002;0
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2003;0
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2004;0
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2005;0
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2006;0
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2007;0
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2008;0
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2009;188
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2010;14828
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2011;28985
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2012;14668
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2013;10989
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2014;23341
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2015;44645
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2016;19504
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2017;39166
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2018;50267
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2019;70648
Ghana;GH;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2020;104151
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1990;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1991;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1992;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1993;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1994;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1995;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1996;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1997;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1998;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1999;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2000;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2001;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2002;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2003;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2004;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2005;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2006;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2007;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2008;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2009;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2010;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2011;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2012;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2013;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2014;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2015;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2016;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2017;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2018;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2019;0
Ghana;GH;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2020;0
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;1990;0
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;1991;0
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;1992;0
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;1993;0
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;1994;0
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;1995;0
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;1996;0
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;1997;0
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;1998;0
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;1999;0
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;2000;0
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;2001;0
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;2002;0
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;2003;0
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;2004;0
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;2005;0
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;2006;0
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;2007;0
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;2008;0
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;2009;0
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;2010;0
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;2011;0
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;2012;0
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;2013;0
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;2014;0
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;2015;0
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;2016;181
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;2017;1085
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;2018;2442
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;2019;2781
Ghana;GH;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;2020;2110
Ghana;GH;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1990;0
Ghana;GH;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1991;0
Ghana;GH;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1992;0
Ghana;GH;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1993;0
Ghana;GH;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1994;0
Ghana;GH;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1995;0
Ghana;GH;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1996;0
Ghana;GH;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1997;0
Ghana;GH;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1998;0
Ghana;GH;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1999;0
Ghana;GH;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2000;0
Ghana;GH;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2001;0
Ghana;GH;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2002;0
Ghana;GH;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2003;0
Ghana;GH;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2004;0
Ghana;GH;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2005;0
Ghana;GH;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2006;0
Ghana;GH;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2007;0
Ghana;GH;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2008;0
Ghana;GH;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2009;0
Ghana;GH;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2010;0
Ghana;GH;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2011;0
