Country Name;Country Code;Indicator Name;Indicator Code;Year;Value
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;1990;1764159
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;1991;1992255
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;1992;2094183
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;1993;2156234
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;1994;2397033
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;1995;2392609
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;1996;2519492
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;1997;2620183
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;1998;2561953
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;1999;2739670
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;2000;2560827
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;2001;2470554
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;2002;2721248
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;2003;2849646
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;2004;2725008
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;2005;2745712
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;2006;2714296
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;2007;2612849
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;2008;2693877
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;2009;2809586
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;2010;3132018
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;2011;2976445
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;2012;2818784
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;2013;2794451
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;2014;2750385
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;2015;2741839
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;2016;2702878
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;2017;2617379
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;2018;2620860
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;2019;2433003
Indonesia;ID;Total Natural Gas domestic production (TJ);IEA.NG.DP;2020;2143371
Indonesia;ID;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1990;662279
Indonesia;ID;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1991;790735
Indonesia;ID;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1992;833292
Indonesia;ID;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1993;866176
Indonesia;ID;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1994;981361
Indonesia;ID;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1995;1061020
Indonesia;ID;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1996;1101890
Indonesia;ID;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1997;1184490
Indonesia;ID;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1998;1126259
Indonesia;ID;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1999;1185620
Indonesia;ID;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2000;1112225
Indonesia;ID;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2001;1155710
Indonesia;ID;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2002;1228271
Indonesia;ID;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2003;1301684
Indonesia;ID;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2004;1188006
Indonesia;ID;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2005;1225616
Indonesia;ID;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2006;1231044
Indonesia;ID;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2007;1168224
Indonesia;ID;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2008;1248153
Indonesia;ID;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2009;1440284
Indonesia;ID;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2010;1625438
Indonesia;ID;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2011;1492947
Indonesia;ID;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2012;1465639
