Country Name;Country Code;Indicator Name;Indicator Code;Year;Value
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;1990;587398
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;1991;590799
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;1992;616863
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;1993;656559
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;1994;692735
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;1995;684403
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;1996;685112
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;1997;660667
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;1998;651819
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;1999;599252
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;2000;570344
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;2001;522651
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;2002;501423
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;2003;476115
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;2004;444432
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;2005;413915
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;2006;376471
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;2007;332819
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;2008;317355
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;2009;274764
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;2010;288241
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;2011;289715
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;2012;295066
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;2013;265234
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;2014;245139
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;2015;232177
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;2016;198368
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;2017;189910
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;2018;186811
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;2019;164589
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;2020;137630
Italy;IT;Total Natural Gas domestic production (TJ);IEA.NG.DP;2021;109186
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1990;473668
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1991;549756
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1992;529171
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1993;553744
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1994;511571
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1995;564570
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1996;591830
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1997;579854
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1998;624690
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;1999;652778
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2000;626786
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2001;659270
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2002;640617
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2003;723178
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2004;750982
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2005;784849
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2006;712464
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2007;667462
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2008;670505
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2009;704249
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2010;782831
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2011;753190
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2012;758504
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2013;756684
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2014;634335
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2015;711151
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2016;715837
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2017;722667
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2018;690796
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2019;675190
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2020;667066
Italy;IT;Residential final consumption, Natural Gas (TJ);IEA.NG.RFC;2021;
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1990;163906
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1991;1736475
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1992;1721284
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1993;1756357
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1994;1697198
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1995;1869504
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1996;1928725
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1997;1988137
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1998;2140554
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1999;2326551
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2000;2425844
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2001;2432497
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2002;2416040
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2003;2663682
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2004;2764083
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2005;2958026
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2006;2896923
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2007;2911118
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2008;2910639
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2009;2675445
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2010;2849396
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2011;2671771
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2012;2568837
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2013;2402667
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2014;2122962
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2015;2315363
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2016;2431676
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2017;2576934
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2018;2491707
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2019;2551815
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2020;2440311
Italy;IT;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2021;
Italy;IT;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;1990;1272905
Italy;IT;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;1991;1390193
Italy;IT;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;1992;1360119
Italy;IT;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;1993;1378422
Italy;IT;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;1994;1337918
Italy;IT;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;1995;1449389
Italy;IT;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;1996;1490737
