Country Name;Country Code;Indicator Name;Indicator Code;Year;Value
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1990;241378
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1991;267539
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1992;275274
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1993;226822
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1994;152278
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1995;200730
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1996;221359
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1997;275308
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1998;269676
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1999;349329
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2000;319137
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2001;290783
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2002;374411
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2003;440435
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2004;586521
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2005;662709
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2006;700099
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2007;784487
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2008;899959
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2009;989131
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2010;1030217
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2011;1059814
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2012;1195681
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2013;1285411
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2014;1179850
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2015;977156
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2016;1113452
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2017;1309613
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2018;1410422
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2019;1205855
Kazakhstan;KZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2020;1102112
Kazakhstan;KZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1990;447289
Kazakhstan;KZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1991;425829
Kazakhstan;KZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1992;625160
Kazakhstan;KZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1993;441328
Kazakhstan;KZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1994;340149
Kazakhstan;KZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1995;423311
Kazakhstan;KZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1996;328341
Kazakhstan;KZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1997;294712
Kazakhstan;KZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1998;294991
Kazakhstan;KZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1999;302897
Kazakhstan;KZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2000;275255
Kazakhstan;KZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2001;210992
Kazakhstan;KZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2002;292575
Kazakhstan;KZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2003;357198
Kazakhstan;KZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2004;407668
Kazakhstan;KZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2005;521729
Kazakhstan;KZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2006;592936
Kazakhstan;KZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2007;707975
Kazakhstan;KZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2008;893740
Kazakhstan;KZ;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2009;842204
