Country Name;Country Code;Indicator Name;Indicator Code;Year;Value
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;1990;212040
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;1991;223668
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;1992;231534
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;1993;217512
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;1994;218538
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;1995;216828
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;1996;219564
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;1997;224694
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;1998;217512
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;1999;171684
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;2000;201096
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;2001;211356
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;2002;201780
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;2003;188100
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;2004;275652
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;2005;386802
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;2006;451440
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;2007;522576
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;2008;543780
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;2009;543780
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;2010;574902
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;2011;238032
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;2012;549594
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;2013;581058
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;2014;567378
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;2015;529861
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;2016;532510
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;2017;489377
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;2018;474695
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;2019;485287
Libya;LY;Total Natural Gas domestic production (TJ);IEA.NG.DP;2020;444600
Libya;LY;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1990;169632
Libya;LY;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1991;169632
Libya;LY;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1992;168606
Libya;LY;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1993;162792
Libya;LY;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1994;167922
Libya;LY;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1995;165870
Libya;LY;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1996;178524
Libya;LY;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1997;186390
Libya;LY;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1998;186390
Libya;LY;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1999;138852
Libya;LY;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2000;173736
Libya;LY;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2001;185022
Libya;LY;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2002;180234
Libya;LY;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2003;162450
Libya;LY;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2004;202806
Libya;LY;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2005;199728
