Country Name;Country Code;Indicator Name;Indicator Code;Year;Value
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;1990;952788
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;1991;952652
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;1992;926324
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;1993;973461
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;1994;1003914
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;1995;988198
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;1996;1135983
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;1997;1177935
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;1998;1257575
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;1999;1268665
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;2000;1397788
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;2001;1393788
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;2002;1429424
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;2003;1512694
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;2004;1532213
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;2005;1610190
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;2006;1806855
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;2007;1799617
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;2008;1762564
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;2009;1825608
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;2010;1782829
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;2011;1763103
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;2012;1706993
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;2013;1695037
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;2014;1560370
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;2015;1438846
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;2016;1274171
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;2017;1112254
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;2018;1174350
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;2019;1148080
Mexico;MX;Total Natural Gas domestic production (TJ);IEA.NG.DP;2020;1138107
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1990;968260
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1991;1011155
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1992;1017419
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1993;1007428
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1994;1041059
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1995;1041372
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1996;1147948
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1997;1203322
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1998;1300597
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1999;1277093
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2000;1485622
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2001;1516464
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2002;1686307
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2003;1864354
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2004;1932849
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2005;1930446
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2006;2157711
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2007;2145545
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2008;2169240
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2009;2258222
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2010;2270834
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2011;2391304
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2012;2483151
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2013;2602985
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2014;2533987
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2015;2707282
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2016;2770893
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2017;2620864
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2018;3035299
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2019;2874196
Mexico;MX;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2020;3356537
Mexico;MX;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1990;143699
Mexico;MX;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1991;195773
Mexico;MX;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1992;187022
Mexico;MX;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1993;178740
Mexico;MX;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1994;209740
Mexico;MX;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1995;225573
Mexico;MX;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1996;230761
Mexico;MX;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1997;243949
Mexico;MX;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1998;342493
Mexico;MX;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1999;340972
Mexico;MX;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2000;397539
Mexico;MX;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2001;451656
Mexico;MX;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2002;579802
Mexico;MX;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2003;737603
Mexico;MX;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2004;779155
Mexico;MX;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2005;762268
Mexico;MX;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2006;925204
Mexico;MX;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2007;971773
Mexico;MX;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2008;1037931
Mexico;MX;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2009;1093279
Mexico;MX;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2010;1091738
