Country Name;Country Code;Indicator Name;Indicator Code;Year;Value
Mozambique;MZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1990;0
Mozambique;MZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1991;0
Mozambique;MZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1992;5
Mozambique;MZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1993;5
Mozambique;MZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1994;5
Mozambique;MZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1995;12
Mozambique;MZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1996;12
Mozambique;MZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1997;13
Mozambique;MZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1998;19
Mozambique;MZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;1999;22
Mozambique;MZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2000;35
Mozambique;MZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2001;47
Mozambique;MZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2002;92
Mozambique;MZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2003;95
Mozambique;MZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2004;47081
Mozambique;MZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2005;78197
Mozambique;MZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2006;93022
Mozambique;MZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2007;94068
Mozambique;MZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2008;104955
Mozambique;MZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2009;102596
Mozambique;MZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2010;112305
Mozambique;MZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2011;117782
Mozambique;MZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2012;131769
Mozambique;MZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2013;146845
Mozambique;MZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2014;157920
Mozambique;MZ;Total Natural Gas domestic production (TJ);IEA.NG.DP;2015;170472
