Country Name;Country Code;Indicator Name;Indicator Code;Year;Value
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;1990;136800
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;1991;166815
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;1992;175500
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;1993;191700
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;1994;187866
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;1995;184150
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;1996;186634
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;1997;195150
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;1998;201780
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;1999;237690
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2000;426132
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2001;509580
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2002;485640
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2003;753441
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2004;823168
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2005;828010
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2006;967465
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2007;1210541
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2008;1180520
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2009;834790
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2010;1112884
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2011;1311259
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2012;1409071
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2013;1271075
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2014;1450767
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2015;1494118
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2016;1443240
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2017;1542420
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2018;1562940
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2019;1579356
Nigeria;NG;Total Natural Gas domestic production (TJ);IEA.NG.DP;2020;1588590
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1990;136800
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1991;166815
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1992;175500
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1993;191700
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1994;187866
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1995;184150
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1996;186634
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1997;195150
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1998;201780
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1999;212382
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2000;241110
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2001;212382
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2002;217512
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2003;367675
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2004;375177
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2005;377446
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2006;395495
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2007;406791
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2008;377877
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2009;330300
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2010;369523
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2011;512319
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2012;528244
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2013;523805
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2014;597819
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2015;593632
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2016;629964
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2017;593028
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2018;628254
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2019;642276
Nigeria;NG;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2020;645696
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1990;75600
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1991;66600
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1992;66600
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1993;74970
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1994;65974
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1995;65974
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1996;66864
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1997;106455
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1998;106454
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1999;112466
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2000;119679
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2001;111044
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2002;126634
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2003;114624
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2004;145503
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2005;141939
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2006;151623
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2007;150759
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2008;138501
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2009;137232
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2010;177723
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2011;190359
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2012;107423
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2013;212013
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2014;241965
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2015;240273
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2016;254979
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2017;220230
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2018;241766
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2019;229343
Nigeria;NG;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2020;241287
Nigeria;NG;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1990;0
Nigeria;NG;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1991;0
Nigeria;NG;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1992;0
Nigeria;NG;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1993;0
Nigeria;NG;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1994;0
Nigeria;NG;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1995;0
Nigeria;NG;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1996;0
Nigeria;NG;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1997;0
Nigeria;NG;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1998;0
Nigeria;NG;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1999;0
Nigeria;NG;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2000;0
Nigeria;NG;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2001;0
Nigeria;NG;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2002;0
Nigeria;NG;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2003;0
Nigeria;NG;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2004;0
Nigeria;NG;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2005;0
Nigeria;NG;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2006;0
Nigeria;NG;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2007;0
Nigeria;NG;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2008;0
Nigeria;NG;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2009;0
Nigeria;NG;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2010;0
Nigeria;NG;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2011;0
