Country Name;Country Code;Indicator Name;Indicator Code;Year;Value
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;1990;422032
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;1991;445674
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;1992;483161
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;1993;514260
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;1994;518302
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;1995;550872
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;1996;574061
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;1997;570883
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;1998;594275
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;1999;658194
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;2000;697910
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;2001;729364
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;2002;747137
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;2003;927490
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;2004;1015875
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;2005;1073683
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;2006;1076441
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;2007;1137024
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;2008;1107764
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;2009;1143049
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;2010;1129839
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;2011;1128159
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;2012;1136115
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;2013;1110629
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;2014;1101326
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;2015;1015633
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;2016;941510
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;2017;792919
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;2018;1021347
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;2019;932478
Pakistan;PK;Total Natural Gas domestic production (TJ);IEA.NG.DP;2020;892586
Pakistan;PK;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1990;422032
Pakistan;PK;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1991;445674
Pakistan;PK;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1992;483161
Pakistan;PK;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1993;512845
Pakistan;PK;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1994;517977
Pakistan;PK;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1995;550644
Pakistan;PK;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1996;573043
Pakistan;PK;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1997;570765
Pakistan;PK;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1998;594178
Pakistan;PK;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1999;658098
Pakistan;PK;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2000;697846
Pakistan;PK;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2001;729247
Pakistan;PK;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2002;746793
Pakistan;PK;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2003;927257
Pakistan;PK;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2004;1015598
Pakistan;PK;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2005;1073592
Pakistan;PK;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2006;1076309
Pakistan;PK;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2007;1137001
