Country Name;Country Code;Indicator Name;Indicator Code;Year;Value
Turkmenistan;TM;Total Natural Gas domestic production (TJ);IEA.NG.DP;1990;2880000
Turkmenistan;TM;Total Natural Gas domestic production (TJ);IEA.NG.DP;1991;2855344
Turkmenistan;TM;Total Natural Gas domestic production (TJ);IEA.NG.DP;1992;1836363
Turkmenistan;TM;Total Natural Gas domestic production (TJ);IEA.NG.DP;1993;2229840
Turkmenistan;TM;Total Natural Gas domestic production (TJ);IEA.NG.DP;1994;1224463
Turkmenistan;TM;Total Natural Gas domestic production (TJ);IEA.NG.DP;1995;1217520
Turkmenistan;TM;Total Natural Gas domestic production (TJ);IEA.NG.DP;1996;1193725
Turkmenistan;TM;Total Natural Gas domestic production (TJ);IEA.NG.DP;1997;587600
Turkmenistan;TM;Total Natural Gas domestic production (TJ);IEA.NG.DP;1998;449810
Turkmenistan;TM;Total Natural Gas domestic production (TJ);IEA.NG.DP;1999;778456
Turkmenistan;TM;Total Natural Gas domestic production (TJ);IEA.NG.DP;2000;1599901
Turkmenistan;TM;Total Natural Gas domestic production (TJ);IEA.NG.DP;2001;1641238
Turkmenistan;TM;Total Natural Gas domestic production (TJ);IEA.NG.DP;2002;1711484
Turkmenistan;TM;Total Natural Gas domestic production (TJ);IEA.NG.DP;2003;1892556
Turkmenistan;TM;Total Natural Gas domestic production (TJ);IEA.NG.DP;2004;1997243
Turkmenistan;TM;Total Natural Gas domestic production (TJ);IEA.NG.DP;2005;2148306
Turkmenistan;TM;Total Natural Gas domestic production (TJ);IEA.NG.DP;2006;2156831
Turkmenistan;TM;Total Natural Gas domestic production (TJ);IEA.NG.DP;2007;2348815
Turkmenistan;TM;Total Natural Gas domestic production (TJ);IEA.NG.DP;2008;2404057
Turkmenistan;TM;Total Natural Gas domestic production (TJ);IEA.NG.DP;2009;1300919
Turkmenistan;TM;Total Natural Gas domestic production (TJ);IEA.NG.DP;2010;1544735
Turkmenistan;TM;Total Natural Gas domestic production (TJ);IEA.NG.DP;2011;2275768
Turkmenistan;TM;Total Natural Gas domestic production (TJ);IEA.NG.DP;2012;2354612
