Country Name;Country Code;Indicator Name;Indicator Code;Year;Value
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;1990;13862
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;1991;10889
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;1992;9881
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;1993;7411
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;1994;7286
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;1995;5569
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;1996;32072
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;1997;65825
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;1998;75498
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;1999;72185
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;2000;78944
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;2001;89590
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;2002;85438
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;2003;86972
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;2004;92261
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;2005;83450
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;2006;84952
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;2007;80888
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;2008;81188
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;2009;94467
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;2010;128804
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;2011;122420
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;2012;118583
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;2013;118320
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;2014;108225
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;2015;105379
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;2016;95198
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;2017;89567
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;2018;85746
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;2019;79366
Tunisia;TN;Total Natural Gas domestic production (TJ);IEA.NG.DP;2020;80592
Tunisia;TN;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1990;51680
Tunisia;TN;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1991;35850
Tunisia;TN;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1992;51079
Tunisia;TN;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1993;49320
Tunisia;TN;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1994;69723
