Country Name;Country Code;Indicator Name;Indicator Code;Year;Value
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;1990;17509512
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;1991;17374216
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;1992;17513379
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;1993;17715537
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;1994;18431491.5
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;1995;18195098.4
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;1996;18382336.2
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;1997;18467622
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;1998;18524796.3
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;1999;18412517.7
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;2000;18712855.8
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;2001;19186251.3
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;2002;18476136.9
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;2003;18715288.5
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;2004;18145576.8
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;2005;17649826.2
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;2006;18074240.1
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;2007;18836640.9
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;2008;19669347.9
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;2009;20085261.3
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;2010;20715798.6
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;2011;22234362.3
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;2012;23378049.9
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;2013;23614617.6
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;2014;25382359.8
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;2015;26656035.3
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;2016;26264492.1
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;2017;26865787.5
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;2018;29489845.31
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;2019;33491556.9
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;2020;32984387.96
United States;US;Total Natural Gas domestic production (TJ);IEA.NG.DP;2021;33357684.6
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1990;18353151
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1991;19200737
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1992;19578157
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1993;20132170.2
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1994;20542895.1
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1995;21245664.6
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1996;21066975.9
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1997;21225105.9
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1998;20881748.7
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;1999;21950903.7
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2000;22932624.6
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2001;21539719.8
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2002;22384393.2
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2003;21727665.9
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2004;21340567.8
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2005;21236103.9
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2006;21023775.9
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2007;22727727.9
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2008;22653271.8
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2009;22421242.8
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2010;23281821.9
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2011;23812993.8
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2012;24907509.9
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2013;25395330.6
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2014;26276307.3
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2015;27067980.6
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2016;27334911.6
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2017;26960229
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2018;29054726.62
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2019;31078534.35
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2020;30104803.11
United States;US;Total energy supply, Natural Gas (TJ);IEA.NG.TES;2021;29626699.5
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1990;2735657
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1991;2699259
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1992;2701640
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1993;2666562
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1994;2896518
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1995;3095379
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1996;2700847
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1997;2963329
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1998;3345303
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;1999;3429500
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2000;3964349
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2001;4059532
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2002;4143118
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2003;3703140
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2004;4056070
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2005;4516921
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2006;4989264
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2007;5519424
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2008;5409666
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2009;5615563
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2010;6072274
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2011;6258215
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2012;7703670
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2013;6952357
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2014;6897465
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2015;8331587
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2016;8667984
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2017;8089240
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2018;9383457
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2019;10130883
United States;US;Electricity plants consumption, Natural Gas (TJ);IEA.NG.EPC;2020;10437637
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1990;1022489
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1991;1548020
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1992;1798648
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1993;1872709
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1994;2067367
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1995;2233012
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1996;2399482
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1997;2497726
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1998;2549258
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;1999;2724917
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2000;1768052
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2001;1789015
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2002;2045356
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2003;1980764
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2004;2061768
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2005;1958234
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2006;1641420
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2007;1730544
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2008;1636367
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2009;1614384
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2010;1676921
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2011;1687357
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2012;1817404
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2013;1711670
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2014;1744588
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2015;1792399
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2016;1703830
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2017;1604391
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2018;1666010
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2019;1681582
United States;US;CHP plants consumption, Natural Gas (TJ);IEA.NG.CHPPC;2020;1666951
United States;US;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;1990;12689174
United States;US;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;1991;12580317
United States;US;Total final consumption, Natural Gas (TJ);IEA.NG.TFC;1992;12722888
